Date,h1_qtrly,h3_qtrly,h12_qtrly
7/1960,0.637188835982201,0.761154790597069,0.871536134950105
10/1960,0.657585516144436,0.779127333805502,0.881714871309151
1/1961,0.654804003630067,0.779171873061972,0.883940752546066
4/1961,0.637845569750455,0.763762920499065,0.874619070072405
7/1961,0.616080563970446,0.745942697660824,0.863423639674696
10/1961,0.604214334674491,0.734732158773348,0.853073802802317
1/1962,0.588252476019167,0.720830090143737,0.843833339542172
4/1962,0.571260882937028,0.704449755468202,0.832678074024652
7/1962,0.558364875722562,0.687862391472798,0.819452649454843
10/1962,0.547259601048376,0.673051539123219,0.8073185564027
1/1963,0.540060812547227,0.662860450116208,0.800239120659112
4/1963,0.532866775197163,0.657126233671132,0.798099417406312
7/1963,0.538016067730824,0.660439800416952,0.798252860137219
10/1963,0.542299524873755,0.661898772790751,0.797061884835572
1/1964,0.544041412037087,0.66377886240098,0.799363427188103
4/1964,0.568872126909801,0.687281066405374,0.81145133481195
7/1964,0.580959175485969,0.701820758068119,0.820382618786057
10/1964,0.584949964871816,0.705674506434691,0.821151789013613
1/1965,0.558182682130676,0.68398087783429,0.812154312304998
4/1965,0.547780164339525,0.674057262701229,0.808169277105275
7/1965,0.552905206844462,0.67993214988753,0.81300049204531
10/1965,0.566284037721828,0.692610660716666,0.822110755634817
1/1966,0.580016021710836,0.707302790327847,0.832974016321215
4/1966,0.592399480304865,0.718366156331302,0.841495832279269
7/1966,0.601000270295318,0.726483301934509,0.847742560346617
10/1966,0.604437672260437,0.728767747562924,0.850645700550433
1/1967,0.607530913557777,0.733490683164062,0.856020281348212
4/1967,0.609960282194163,0.737090426550692,0.860621975466581
7/1967,0.630528604184625,0.756387250889538,0.870014377495305
10/1967,0.631623478719707,0.757226638950483,0.870621469309389
1/1968,0.619147677453614,0.746078710791457,0.865487072583921
4/1968,0.593944442605061,0.724277666667245,0.857058433993584
7/1968,0.588396015827686,0.721129071415071,0.857428534922324
10/1968,0.597927762244366,0.73468502051586,0.870283144843652
1/1969,0.610938746350843,0.752101550203826,0.885603985988205
4/1969,0.620911119502543,0.763838987957212,0.89605700866147
7/1969,0.639289027187132,0.779918260320376,0.9039774501343
10/1969,0.654860185646773,0.794599563958973,0.911143764746142
1/1970,0.665522794935699,0.804867017341105,0.914690677097439
4/1970,0.681871219460945,0.816285872782771,0.915440445480977
7/1970,0.688585380433034,0.819386768629259,0.913401345644685
10/1970,0.675536594032038,0.806195454760699,0.907310600725847
1/1971,0.64996516957405,0.780927596778667,0.896342893423338
4/1971,0.625136127961107,0.757846114873917,0.885940392932867
7/1971,0.632742988977718,0.76206901097248,0.885342656267793
10/1971,0.613272005920855,0.747290301134759,0.878945532482399
1/1972,0.61140895933091,0.745412734704229,0.876888964045012
4/1972,0.611122818742099,0.747067688205677,0.879205533639151
7/1972,0.639563442812816,0.777179510306183,0.897308268188462
10/1972,0.663246196251055,0.807947912798696,0.92227810553939
1/1973,0.70168211153027,0.857119333498789,0.960288384037053
4/1973,0.74416587513065,0.905229678425269,0.995909024155595
7/1973,0.779167143903555,0.9381566218957,1.01743562010835
10/1973,0.787092052102122,0.941013587070728,1.01943868045509
1/1974,0.78401246012703,0.939737295674729,1.02058657599832
4/1974,0.795973247414443,0.952739726577188,1.02571952570382
7/1974,0.821727740732531,0.972302928762115,1.02825105788027
10/1974,0.820248113599929,0.962434005706801,1.01424094567547
1/1975,0.796192982380092,0.928797525342576,0.988599855342524
4/1975,0.732718383666567,0.865893209170388,0.954249937391229
7/1975,0.692387836534667,0.823361542486012,0.928783136906247
10/1975,0.646734607292944,0.780489003550995,0.906213524943852
1/1976,0.621893673285284,0.754637574726828,0.890447116701419
4/1976,0.608770819368324,0.739820862652065,0.880023658017132
7/1976,0.61508050404701,0.743273186706903,0.877898162336207
10/1976,0.61206088664376,0.740530440126179,0.875290808166716
1/1977,0.5944641430202,0.724629443398839,0.868282877751606
4/1977,0.579769153327181,0.711856925144192,0.863109567695508
7/1977,0.603210021703819,0.730297762124856,0.870162920201534
10/1977,0.624513852347675,0.751235312909414,0.88058657050503
1/1978,0.6282200531048,0.759635279868152,0.89024821869574
4/1978,0.612317779191134,0.754698348383197,0.897750914231853
